Year,Constructor,Wins,Engine
2003,Ferrari,8,Ferrari
2003,Williams,4,BMW
2003,McLaren,2,Mercedes
2003,Jordan,1,Ford
2003,Renault,1,Renault
2004,Ferrari,15,Ferrari
2004,Renault,1,Renault
2004,McLaren,1,Mercedes
2004,Williams,1,BMW
2005,McLaren,10,Mercedes
2005,Renault,8,Renault
2005,Ferrari,1,Ferrari
2006,Ferrari,9,Ferrari
2006,Renault,8,Renault
2006,Honda,1,Honda
2007,Ferrari,9,Ferrari
2007,McLaren,8,Mercedes
2008,Ferrari,8,Ferrari
2008,McLaren,6,Mercedes
2008,Renault,2,Renault
2008,BMW Sauber,1,BMW
2008,Toro Rosso,1,Ferrari
2009,Brawn GP,8,Mercedes
2009,Red Bull,6,Renault
2009,McLaren,2,Mercedes
2009,Ferrari,1,Ferrari
2010,Red Bull,9,Renault
2010,McLaren,5,Mercedes
2010,Ferrari,5,Ferrari
2011,Red Bull,12,Renault
2011,McLaren,6,Mercedes
2011,Ferrari,1,Ferrari
2012,Red Bull,7,Renault
2012,McLaren,7,Mercedes
2012,Ferrari,3,Ferrari
2012,Mercedes,1,Mercedes
2012,Williams,1,Renault
2012,Lotus,1,Renault
2013,Red Bull,13,Renault
2013,Mercedes,3,Mercedes
2013,Ferrari,2,Ferrari
2013,Lotus,1,Renault
2014,Mercedes,16,Mercedes
2014,Red Bull,3,Renault
2015,Mercedes,16,Mercedes
2015,Ferrari,3,Ferrari
2016,Mercedes,19,Mercedes
2016,Red Bull,2,TAG Heuer
2017,Mercedes,12,Mercedes
2017,Ferrari,5,Ferrari
2017,Red Bull,3,TAG Heuer
2018,Mercedes,11,Mercedes
2018,Ferrari,6,Ferrari
2018,Red Bull,4,TAG Heuer
2019,Mercedes,15,Mercedes
2019,Ferrari,3,Ferrari
2019,Red Bull,3,Honda
2020,Mercedes,13,Mercedes
2020,Red Bull,2,Honda
2020,AlphaTauri,1,Honda
2020,Racing Point,1,Mercedes
2021,Red Bull,11,Honda
2021,Mercedes,9,Mercedes
2021,Alpine,1,Renault
2021,McLaren,1,Mercedes
2022,Red Bull,17,Honda-RBPT
2022,Ferrari,4,Ferrari
2022,Mercedes,1,Mercedes
2023,Red Bull,3,Honda-RBPT
